week,match,pick,actual,odds,correct,week_won,combo_odds
2021-10-25/2021-10-31,Newcastle vs Chelsea,A,A,1.4,True,False,1.61
2021-10-25/2021-10-31,Man City vs Crystal Palace,H,A,1.15,False,False,1.61
2021-11-01/2021-11-07,Arsenal vs Watford,H,H,1.41,True,False,1.79
2021-11-01/2021-11-07,Chelsea vs Burnley,H,D,1.27,False,False,1.79
2021-11-29/2021-12-05,Watford vs Man City,A,A,1.21,True,True,2.41
2021-11-29/2021-12-05,Aston Villa vs Man City,A,A,1.39,True,True,2.41
2021-11-29/2021-12-05,Everton vs Liverpool,A,A,1.43,True,True,2.41
2021-12-13/2021-12-19,Liverpool vs Newcastle,H,H,1.13,True,False,1.65
2021-12-13/2021-12-19,Chelsea vs Everton,H,D,1.24,False,False,1.65
2021-12-13/2021-12-19,Newcastle vs Man City,A,A,1.18,True,False,1.65
2021-12-20/2021-12-26,Man City vs Leicester,H,H,1.19,True,True,1.69
2021-12-20/2021-12-26,Norwich vs Arsenal,A,A,1.42,True,True,1.69
2021-12-27/2022-01-02,Brentford vs Man City,A,A,1.17,True,False,2.41
2021-12-27/2022-01-02,Leicester vs Liverpool,A,H,1.38,False,False,2.41
2021-12-27/2022-01-02,Newcastle vs Man United,A,D,1.49,False,False,2.41
2022-01-17/2022-01-23,Arsenal vs Burnley,H,D,1.36,False,False,1.73
2022-01-17/2022-01-23,Southampton vs Man City,A,D,1.27,False,False,1.73
2022-02-07/2022-02-13,Man City vs Brentford,H,H,1.12,True,True,1.7
2022-02-07/2022-02-13,Norwich vs Man City,A,A,1.18,True,True,1.7
2022-02-07/2022-02-13,Burnley vs Liverpool,A,A,1.29,True,True,1.7
2022-02-14/2022-02-20,Liverpool vs Norwich,H,H,1.13,True,False,2.14
2022-02-14/2022-02-20,Man City vs Tottenham,H,A,1.29,False,False,2.14
2022-02-14/2022-02-20,Arsenal vs Brentford,H,H,1.47,True,False,2.14
2022-02-21/2022-02-27,Liverpool vs Leeds,H,H,1.16,True,True,1.5
2022-02-21/2022-02-27,Everton vs Man City,A,A,1.29,True,True,1.5
2022-02-28/2022-03-06,Liverpool vs West Ham,H,H,1.3,True,True,2.11
2022-02-28/2022-03-06,Watford vs Arsenal,A,A,1.62,True,True,2.11
2022-03-07/2022-03-13,Brighton vs Liverpool,A,A,1.54,True,True,1.97
2022-03-07/2022-03-13,Norwich vs Chelsea,A,A,1.28,True,True,1.97
2022-03-28/2022-04-03,Liverpool vs Watford,H,H,1.13,True,True,1.39
2022-03-28/2022-04-03,Burnley vs Man City,A,A,1.23,True,True,1.39
2022-04-18/2022-04-24,Man City vs Watford,H,H,1.13,True,True,1.88
2022-04-18/2022-04-24,Liverpool vs Everton,H,H,1.18,True,True,1.88
2022-04-18/2022-04-24,Liverpool vs Man United,H,H,1.41,True,True,1.88
2022-05-09/2022-05-15,Wolves vs Man City,A,A,1.26,True,False,1.75
2022-05-09/2022-05-15,West Ham vs Man City,A,D,1.39,False,False,1.75
2022-05-16/2022-05-22,Liverpool vs Wolves,H,H,1.15,True,True,2.02
2022-05-16/2022-05-22,Norwich vs Tottenham,A,A,1.27,True,True,2.02
2022-05-16/2022-05-22,Southampton vs Liverpool,A,A,1.38,True,True,2.02
2022-08-01/2022-08-07,Fulham vs Liverpool,A,D,1.28,False,False,1.77
2022-08-01/2022-08-07,West Ham vs Man City,A,A,1.38,True,False,1.77
2022-08-22/2022-08-28,Arsenal vs Fulham,H,H,1.33,True,True,1.98
2022-08-22/2022-08-28,Nott'm Forest vs Tottenham,A,A,1.49,True,True,1.98
2022-08-29/2022-09-04,Arsenal vs Aston Villa,H,H,1.5,True,False,2.15
2022-08-29/2022-09-04,Aston Villa vs Man City,A,D,1.33,False,False,2.15
2022-08-29/2022-09-04,Man City vs Nott'm Forest,H,H,1.08,True,False,2.15
2022-10-17/2022-10-23,Southampton vs Arsenal,A,D,1.58,False,False,2.05
2022-10-17/2022-10-23,Nott'm Forest vs Liverpool,A,H,1.3,False,False,2.05
2022-10-24/2022-10-30,Arsenal vs Nott'm Forest,H,H,1.2,True,False,1.58
2022-10-24/2022-10-30,Liverpool vs Leeds,H,A,1.32,False,False,1.58
2022-11-07/2022-11-13,Man City vs Brentford,H,A,1.15,False,False,1.79
2022-11-07/2022-11-13,Wolves vs Arsenal,A,A,1.56,True,False,1.79
