week,odds_source,decision,slip_won,combined_odds,n_legs,leg1_market,leg1_match,leg1_pick,leg1_odds,leg1_why,leg1_hit,leg2_market,leg2_match,leg2_pick,leg2_odds,leg2_why,leg2_hit,leg3_market,leg3_match,leg3_pick,leg3_odds,leg3_why,leg3_hit
2025-08-11/2025-08-17,pinnacle,B,True,2.04,2,H/A,Villarreal vs Oviedo,H,1.41,ph=69% vg=13 pd5=13,True,H/A,Mallorca vs Barcelona,A,1.45,pa=66% vg=-8 pd5=-8,True,,,,,,
2025-08-18/2025-08-24,pinnacle,C,False,2.49,3,H/A,Man City vs Tottenham,H,1.49,ph=65% vg=14 pd5=14,False,H/A,Ath Madrid vs Elche,H,1.24,ph=77% vg=8 pd5=8,False,1st CRN,Burnley vs Sunderland,H,1.35,home generates 100% of expected corners,True
2025-08-25/2025-08-31,pinnacle,C,True,2.07,3,H/A,Real Madrid vs Mallorca,H,1.21,ph=79% vg=11 pd5=11,True,H/A,Augsburg vs Bayern Munich,A,1.27,pa=76% vg=-7 pd5=-7,True,1st CRN,Oviedo vs Sociedad,A,1.35,away generates 83% of expected corners,True
2025-09-08/2025-09-14,pinnacle,C,False,2.2,3,H/A,Bayern Munich vs Hamburg,H,1.07,ph=90% vg=12 pd5=12,True,H/A,Roma vs Torino,H,1.52,ph=63% vg=12 pd5=12,False,1st CRN,Pisa vs Udinese,A,1.35,away generates 78% of expected corners,False
2025-09-15/2025-09-21,pinnacle,C,True,2.5,3,H/A,Real Madrid vs Espanol,H,1.22,ph=79% vg=13 pd5=13,True,H/A,Dortmund vs Wolfsburg,H,1.52,ph=63% vg=8 pd5=8,True,1st CRN,Bologna vs Genoa,H,1.35,home generates 75% of expected corners,True
2025-09-22/2025-09-28,pinnacle,A,True,1.8,2,H/A,Levante vs Real Madrid,A,1.33,pa=72% vg=-5 pd5=-5,True,1st CRN,Oviedo vs Barcelona,A,1.35,away generates 86% of expected corners,True,,,,,,
2025-09-29/2025-10-05,pinnacle,C,True,2.45,3,H/A,Napoli vs Genoa,H,1.5,ph=64% vg=8 pd5=8,True,H/A,Inter vs Cremonese,H,1.21,ph=79% vg=5 pd5=5,True,1st CRN,Hamburg vs Mainz,A,1.35,away generates 81% of expected corners,True
2025-10-13/2025-10-19,pinnacle,C,True,2.15,3,H/A,Ath Madrid vs Osasuna,H,1.37,ph=70% vg=12 pd5=12,True,H/A,Barcelona vs Girona,H,1.16,ph=83% vg=7 pd5=7,True,1st CRN,Barcelona vs Girona,H,1.35,home generates 79% of expected corners,True
2025-10-20/2025-10-26,pinnacle,C,False,2.16,3,H/A,Milan vs Pisa,H,1.3,ph=74% vg=11 pd5=11,False,H/A,M'gladbach vs Bayern Munich,A,1.23,pa=78% vg=-11 pd5=-11,True,1st CRN,Hamburg vs Wolfsburg,A,1.35,away generates 80% of expected corners,False
2025-10-27/2025-11-02,pinnacle,C,True,2.01,3,H/A,Barcelona vs Elche,H,1.26,ph=76% vg=9 pd5=9,True,H/A,Real Madrid vs Valencia,H,1.18,ph=81% vg=13 pd5=13,True,1st CRN,Burnley vs Arsenal,A,1.35,away generates 75% of expected corners,True
2025-11-03/2025-11-09,pinnacle,C,True,2.24,3,H/A,Ath Madrid vs Levante,H,1.22,ph=78% vg=7 pd5=7,True,H/A,Inter vs Lazio,H,1.36,ph=71% vg=7 pd5=7,True,1st CRN,Inter vs Lazio,H,1.35,home generates 84% of expected corners,True
2025-11-17/2025-11-23,pinnacle,C,True,2.28,3,H/A,Bayern Munich vs Freiburg,H,1.19,ph=81% vg=10 pd5=10,True,H/A,Barcelona vs Ath Bilbao,H,1.42,ph=68% vg=11 pd5=11,True,1st CRN,Inter vs Milan,H,1.35,home generates 73% of expected corners,True
2025-11-24/2025-11-30,pinnacle,C,True,1.86,3,H/A,Bayern Munich vs St Pauli,H,1.1,ph=87% vg=12 pd5=12,True,H/A,Man City vs Leeds,H,1.25,ph=77% vg=12 pd5=12,True,1st CRN,Sociedad vs Villarreal,H,1.35,home generates 74% of expected corners,True
2025-12-01/2025-12-07,pinnacle,C,True,2.26,3,H/A,Arsenal vs Brentford,H,1.35,ph=71% vg=10 pd5=10,True,H/A,Man City vs Sunderland,H,1.24,ph=77% vg=8 pd5=8,True,1st CRN,Man City vs Sunderland,H,1.35,home generates 75% of expected corners,True
2025-12-08/2025-12-14,pinnacle,C,False,1.68,3,H/A,Bayern Munich vs Mainz,H,1.09,ph=88% vg=12 pd5=12,False,H/A,Arsenal vs Wolves,H,1.14,ph=84% vg=12 pd5=12,True,1st CRN,Sociedad vs Girona,H,1.35,home generates 75% of expected corners,True
